

De volgende Dispatch werd gegenereerd: 
	model.Dispatch nr. 1 bevindt zich op Brusselsestraat 5
	model.Voertuig nr. 19 bevindt zich op Naamsestraat 4 met nummerplaat 1-LGS-395, en is van het merk Jaguar, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 63 bevindt zich op Schapenstraat 7 met nummerplaat 1-ULU-681, en is van het merk Jaguar, en is geseind want Gestolen, 
	model.Voertuig nr. 10 bevindt zich op Pieter de somer plein 7 met nummerplaat 1-ONL-654, en is van het merk Range Rover, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 92 bevindt zich op Tiensestraat 3 met nummerplaat 1-FVQ-385, en is van het merk Skoda, en is geseind want Gestolen, 
	model.Voertuig nr. 80 bevindt zich op Naamsevest 1 met nummerplaat 1-QYK-668, en is van het merk Lada, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 61 bevindt zich op Diestevest 5 met nummerplaat 1-QRV-674, en is van het merk Range Rover, en is geseind want Gestolen, 
	model.Voertuig nr. 152 bevindt zich op Schapenstraat 7 met nummerplaat 1-CHP-741, en is van het merk Seat, en is geseind want niet Verzekerd, 
	model.Voertuig nr. 133 bevindt zich op Capucijnenvoer 6 met nummerplaat 1-MJJ-400, en is van het merk Opel, en is geseind want Gestolen, 
	model.Voertuig nr. 15 bevindt zich op Diestevest 10 met nummerplaat 1-QBA-108, en is van het merk Hyundai, en is geseind want niet Verzekerd]

De achtervolging wordt ingezet: 
	model.Patrouille nr. 1 bevindt zich op Brusselsevest 6 zet achtervolging in voor [
	model.Voertuig nr. 57 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-ZMJ-106, en is van het merk Porche, en is geseind want Gestolen]
	model.Patrouille nr. 4 bevindt zich op Diestestraat 5 zet achtervolging in voor [
	model.Voertuig nr. 57 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-ZMJ-106, en is van het merk Porche, en is geseind want Gestolen]

De volgende Voertuigen werden door cameras gedetecteerd: [
	model.Voertuig nr. 20 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-KQJ-121, en is van het merk Nissan, 
	model.Voertuig nr. 33 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-SZG-006, en is van het merk BMW, 
	model.Voertuig nr. 45 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-BSO-676, en is van het merk BMW, 
	model.Voertuig nr. 57 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-ZMJ-106, en is van het merk Porche, en is geseind want Gestolen, 
	model.Voertuig nr. 60 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-TOF-823, en is van het merk Chevrolet, 
	model.Voertuig nr. 76 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-JOM-520, en is van het merk Nissan, 
	model.Voertuig nr. 121 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-RFH-063, en is van het merk Seat, 
	model.Voertuig nr. 148 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-LMZ-741, en is van het merk Ford]

De volgende Voertuigen werden achtervolgd: [
	model.Voertuig nr. 57 bevindt zich op Vesaliusstraat 8 met nummerplaat 1-ZMJ-106, en is van het merk Porche, en is geseind want Gestolen]
